Id,SalePrice
2658,138319.63558342162
2718,191032.27344509252
2414,188906.822766375
1989,102127.61137816304
625,163270.7758169527
333,119173.41511687587
1327,119423.05529018074
858,167249.8443729422
95,190737.7148938816
1568,145493.40629720903
2482,166668.61595150988
1364,105493.67686711253
2584,143538.48108744988
818,307283.00989624904
2673,148872.73627373192
2089,98460.97826580919
1297,125771.85707674714
790,123160.26246861015
2616,179081.2110356452
720,169805.75594601914
222,145467.97282291183
557,120056.01127691353
1148,232742.0650835975
2766,138975.01188797853
534,161015.1983154314
1452,119894.76204208416
630,136986.5935789366
2648,139247.12460740033
125,141021.18620181386
1904,98215.19644616309
1670,125149.20675040703
756,106744.63463100571
717,281129.7865085263
1032,147628.0830865412
852,232249.97752222282
1731,150479.3100407647
2639,121977.6494998484
2071,93656.57898852654
1267,74754.37556415553
1851,210129.77842880852
567,141357.0678731158
2439,223308.78414863034
1898,147437.81899724342
647,144545.55277112118
2256,245819.16829435542
979,127492.0118812916
1444,223990.55972800864
2485,115370.97307372701
157,118628.337427066
88,126125.13826782489
2003,117953.5793920621
186,212765.3805076647
1425,265954.5092900205
2695,136927.0805683027
738,96847.53387338972
395,141701.20825148263
1353,162197.69719960072
1878,132306.69091696016
390,167551.0632175927
1456,244927.3654205324
1103,349629.99831469846
1387,102557.6742426183
2070,136387.33350042888
1199,176680.47396776243
2479,172597.77329411465
501,352510.6639105864
2362,122384.54334428496
1718,199301.55047185803
2188,94619.18937808028
1483,127784.6378232922
2557,80638.23780327837
437,366037.7584850305
2224,181071.8769705686
1628,147655.72614902956
397,134451.45610750088
587,200822.0374691988
2182,773585.5948212984
971,117991.00992068127
2611,132558.2614346246
1887,99827.64173744929
2399,314713.9298812229
2148,228491.29704879818
304,109662.9234360665
1997,137162.60092034057
2817,111046.7644881767
1431,186267.92576276328
427,340041.62412333256
263,117023.77427805182
598,155233.3342147272
2895,268677.994777448
687,118007.62251873029
1822,141034.15212994607
2191,114145.70887852389
179,116150.43635753928
1009,198669.03085948277
2010,120516.08858276553
1991,125885.60313103213
1411,172057.3351673793
1721,249380.80081683124
1144,200056.88878286397
593,207739.12417574652
575,272197.7274652669
1249,160949.94584855618
1604,136436.1413558923
1064,438482.7511127862
1923,140158.4772307001
1988,116416.98928620879
2325,163501.19519408172
114,189359.13685888326
2700,176402.43783989613
217,199250.58074656012
343,170147.25773592826
386,227974.29794534607
2005,123463.09419559171
2908,149148.16223972925
1814,249238.97134224747
2446,526325.1978994462
208,147619.4946495573
1679,127144.81252807811
822,303451.4588902133
6,187853.73886411695
1781,352761.92884014186
2397,253521.24350580195
2340,296645.9133833081
1618,163812.55439435705
2843,163214.56881521398
1061,336885.5659064185
2786,123249.5403887499
1935,128335.68381946199
1341,118293.93899422992
521,248931.4044673149
2136,152743.56232216087
996,182756.9856528696
227,133561.88560887118
135,159097.57327329452
1167,169521.664520898
294,259377.4045009148
1776,211097.9769921534
540,146232.5542035532
1717,199301.55047185803
2303,130297.90088159154
116,169104.04988404317
127,137974.1121093479
1371,119197.57256749971
1014,150843.97114336948
1507,105955.96890034262
702,161927.9219954221
750,129322.6021003234
261,141041.2362606764
1559,102060.91646089972
577,233608.34602420207
2812,200500.82248995604
2080,158198.49535697934
1368,126115.11559645779
2376,121223.45888105566
659,85063.9058106199
1235,128349.9235001316
332,118699.55797936372
1917,135773.53170877058
2094,265972.4070194769
1460,260474.1191695398
1471,221888.1104916701
1509,119805.57034199932
1922,115479.8075080729
